Código Imóvel;Logradouro;CEP;Bairro;Loteamento;Nº Imóvel;Lote;Quadra
1;RUA DEZENOVE.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;0S/N.;1;15
2;RUA DEZENOVE.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;2;15
5;RUA DEZENOVE.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;5;15
6;RUA DEZENOVE.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;6;15
7;RUA DEZOITO.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;8;14
8;RUA VINTE E OITO.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;9;14
9;RUA VINTE E OITO.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;10;14
10;RUA VINTE E OITO.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;11;14
11;RUA VINTE E OITO.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;12;14
12;RUA VINTE E OITO.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;13;14
13;RUA VINTE E SEIS.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;7;14
14;RUA DEZENOVE.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;6;14
15;RUA DEZENOVE.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;5;14
16;RUA DEZENOVE.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;4;14
17;RUA DEZENOVE.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;3;14
18;RUA DEZENOVE.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;2;14
19;RUA DEZENOVE.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;1;14
20;RUA DEZESSETE.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;1;13
21;RUA DEZESSETE.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;2;13
22;RUA DEZESSETE.;13315-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;3;13
23;RUA DEZESSETE.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;4;13
24;RUA DEZESSETE.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;5;13
25;RUA DEZESSETE.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;6;13
26;RUA DEZESSETE.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;7;13
27;RUA DEZESSETE.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;8;13
28;RUA DEZESSETE.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;9;13
29;RUA DEZESSEIS.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;10;13
30;RUA DEZESSEIS.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;11;13
31;RUA DEZESSEIS.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;12;13
32;RUA DEZESSEIS.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;13;13
33;RUA DEZESSEIS.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;14;13
34;RUA DEZESSEIS.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;15;13
35;RUA DEZESSEIS.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;16;13
36;RUA UM.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;17;13
37;ESTRADA MUNICIPAL DO RIO ABAIXO;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;21;13
38;ESTRADA MUNICIPAL DO RIO ABAIXO;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;23;13
39;ESTRADA MUNICIPAL DO RIO ABAIXO;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;24;13
40;ESTRADA MUNICIPAL DO RIO ABAIXO;13315-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;25;13
41;ESTRADA MUNICIPAL DO RIO ABAIXO;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;26;13
42;RUA DEZOITO.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;27;13
43;RUA DEZOITO.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;28;13
44;RUA DEZOITO.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;29;13
45;RUA DEZOITO.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;30;13
46;RUA DEZOITO.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;31;13
47;RUA DEZOITO.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;32;13
48;RUA DEZOITO.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;33;13
49;RUA DEZOITO.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;34;13
50;RUA DEZOITO.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;35;13
51;RUA DEZOITO.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;36;13
52;RUA DEZOITO.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;37;13
53;RUA DEZOITO.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;38;13
54;RUA DEZESSEIS.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;39;13
55;RUA DEZESSETE.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;42;13
56;RUA DEZESSEIS.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;40;13
57;RUA DEZESSETE.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;41;13
58;RUA DEZESSETE.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;43;13
59;RUA DEZESSETE.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;44;13
60;RUA DEZESSETE.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;45;13
61;RUA DEZESSETE.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;46;13
62;RUA DEZESSETE.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;47;13
63;RUA DEZESSETE.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;22;13
64;RUA DEZESSETE.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;20;13
65;RUA DEZESSETE.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;19;13
66;RUA DEZESSETE.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;18;13
67;RUA DEZOITO.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;22;12
68;RUA DEZOITO.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;21;12
69;RUA DEZOITO.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;16;12
70;RUA DEZOITO.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;17;12
71;RUA DEZESSEIS.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;18;12
72;RUA DEZESSEIS.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;19;12
73;RUA FLORIANO PEIXOTO;13315-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;20;12
74;RUA UM.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;15;12
75;RUA UM.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;14;12
76;RUA UM.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;13;12
77;RUA UM.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;12;12
78;RUA UM.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;11;12
79;RUA UM.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;10;12
80;RUA UM.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;9;12
81;RUA UM.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;8;12
82;RUA UM.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;7;12
83;RUA UM.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;6;12
84;RUA UM.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;5;12
85;RUA UM.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;4;12
86;RUA UM.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;3;12
87;RUA UM.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;2;12
88;RUA UM.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;1;12
89;RUA ONZE.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;1;10
90;RUA DEIS.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;2;10
91;RUA DEIS.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;3;10
92;RUA DEIS.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;4;10
93;RUA DEIS.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;5;10
94;RUA DEIS.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;6;10
95;RUA DEIS.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;8;10
96;RUA DEIS.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;7;10
97;RUA DEIS.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;9;10
98;RUA DEIS.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;10;10
99;RUA DEIS.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;11;10
100;RUA DEIS.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;12;10
101;RUA DEIS.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;13;10
102;RUA DEIS.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;14;10
103;RUA DEIS.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;15;10
104;RUA DEIS.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;16;10
105;RUA DEIS.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;53;10
106;ESTRADA MUNICIPAL DO RIO ABAIXO;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;52;10
107;ESTRADA MUNICIPAL DO RIO ABAIXO;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;51;10
108;ESTRADA MUNICIPAL DO RIO ABAIXO;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;50;10
109;ESTRADA MUNICIPAL DO RIO ABAIXO;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;49;10
110;ESTRADA MUNICIPAL DO RIO ABAIXO;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;48;10
111;ESTRADA MUNICIPAL DO RIO ABAIXO;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;47;10
112;RUA UM.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;46;10
113;RUA UM.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;45;10
114;RUA UM.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;GL;10
115;RUA CATORZE.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;44;10
116;RUA CATORZE.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;43;10
117;RUA CATORZE.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;42;10
118;RUA CATORZE.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;41;10
119;RUA CATORZE.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;40;10
120;RUA CATORZE.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;39;10
121;RUA CATORZE.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;38;10
122;RUA CATORZE.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;37;10
123;RUA CATORZE.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;36;10
124;RUA CATORZE.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;35;10
125;RUA CATORZE.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;34;10
126;RUA CATORZE.;13315-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;33;10
127;RUA TRES.;13315-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;32;10
128;RUA TRES.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;31;10
129;RUA TRES.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;30;10
130;RUA TRES.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;29;10
131;RUA TRES.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;27;10
132;RUA TRES.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;28;10
133;RUA TRES.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;26;10
134;RUA NOVE.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;25;10
135;RUA NOVE.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;24;10
136;RUA NOVE.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;23;10
137;RUA NOVE.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;22;10
138;RUA OITO.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;21;10
139;RUA OITO.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;20;10
140;RUA OITO.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;19;10
141;RUA OITO.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;18;10
142;RUA OITO.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;17;10
143;RUA QUATRO.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;49;11
144;RUA QUATRO.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;50;11
145;RUA QUATRO.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;51;11
146;RUA QUATRO.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;52;11
147;RUA QUATRO.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;53;11
148;RUA QUATRO.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;54;11
149;RUA QUATRO.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;55;11
150;RUA QUATRO.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;56;11
151;RUA QUATRO.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;57;11
152;RUA QUATRO.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;58;11
153;RUA QUATRO.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;59;11
154;RUA QUATRO.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;60;11
155;RUA QUATRO.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;61;11
156;RUA QUATRO.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;62;11
157;RUA QUATRO.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;63;11
158;RUA QUATRO.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;64;11
159;RUA QUATRO.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;65;11
160;RUA CINCO.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;48;11
161;RUA CINCO.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;47;11
162;RUA CINCO.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;46;11
163;RUA CINCO.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;45;11
164;RUA CINCO.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;44;11
165;RUA CINCO.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;43;11
166;RUA CINCO.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;42;11
167;RUA CINCO.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;41;11
168;RUA TRES.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;40;11
169;RUA TRES.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;39;11
170;RUA TRES.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;38;11
171;RUA TRES.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;37;11
172;RUA TRES.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;30;11
173;RUA TRES.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;29;11
174;RUA TRES.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;28;11
175;RUA TRES.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;27;11
176;RUA TRES.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;26;11
177;RUA TRES.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;25;11
178;RUA TRES.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;24;11
179;RUA TRES.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;23;11
180;RUA TRES.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;22;11
181;RUA TRES.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;19;11
182;RUA TRES.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;18;11
183;RUA TRES.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;1;11
184;RUA TRES.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;2;11
185;RUA TRES.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;3;11
186;RUA TRES.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;4;11
187;RUA TRES.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;5;11
188;RUA TRES.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;6;11
189;RUA TRES.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;7;11
190;RUA TRES.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;8;11
191;RUA TRES.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;9;11
192;RUA TRES.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;10;11
193;RUA TRES.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;11;11
194;RUA UM.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;12;11
195;RUA UM.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;13;11
196;RUA UM.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;14;11
197;RUA UM.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;15;11
198;RUA UM.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;16;11
199;RUA UM.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;17;11
200;RUA QUINZE.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;20;11
201;RUA QUINZE.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;21;11
202;RUA UM.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;31;11
203;RUA UM.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;32;11
204;RUA UM.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;33;11
205;RUA UM.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;34;11
206;RUA UM.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;35;11
207;RUA UM.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;36;11
208;RUA UM.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;GLEBA;11
209;RUA TRES.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;1;8
210;RUA OITO.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;2;8
211;RUA OITO.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;3;8
212;RUA OITO.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;4;8
213;RUA OITO.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;5;8
214;RUA OITO.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;6;8
215;RUA OITO.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;7;8
216;RUA OITO.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;8;8
217;RUA OITO.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;9;8
218;RUA OITO.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;10;8
219;RUA NOVE.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;11;8
220;RUA NOVE.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;12;8
221;RUA NOVE.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;13;8
222;RUA TRES.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;14;8
223;RUA TRES.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;15;8
224;RUA TRES.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;16;8
225;RUA TRES.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;17;8
226;RUA TRES.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;18;8
227;RUA TRES.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;19;8
228;RUA TRES.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;20;8
229;RUA TRES.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;21;8
230;RUA TRES.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;22;8
231;RUA UM.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;21;1
232;RUA UM.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;20;1
233;RUA UM.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;19;1
234;RUA UM.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;18;1
235;RUA UM.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;17;1
236;RUA UM.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;16;1
237;RUA UM.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;15;1
238;RUA UM.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;14;1
239;RUA UM.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;13;1
240;RUA UM.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;12;1
241;RUA UM.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;11;1
242;RUA UM.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;10;1
243;RUA UM.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;9;1
244;RUA UM.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;8;1
245;RUA UM.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;7;1
246;RUA UM.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;6;1
247;RUA UM.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;5;1
248;RUA UM.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;4;1
249;RUA UM.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;3;1
250;RUA UM.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;2;1
251;RUA UM.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;1;1
252;RUA UM.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;1;2
253;RUA UM.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;2;2
254;RUA UM.;-;APOTREBU;CHAC. ALPES DO TIETE;S/N;3;2
255;RUA UM.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;4;2
256;RUA UM.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;5;2
257;RUA UM.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;6;2
258;RUA UM.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;7;2
259;RUA UM.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;8;2
260;RUA DOIS.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;9;2
261;RUA DOIS.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;10;2
262;RUA DOIS.;00000-000;APOTREBU;CHAC. ALPES DO TIETE;00S/N;11;2
263;ESTRADA MUNICIPAL;00000-000;PEDREGULHO;GLEBA;00S/N;GLEBA;GL
264;RUA DO PINHEIRO;00000-000;BARRINHA;VALE VERDE;00S/N;SIST. DE LAZER;I
265;RUA DO PINHEIRO;00000-000;BARRINHA;VALE VERDE;00S/N;31;I
266;RUA DO PINHEIRO;00000-000;BARRINHA;VALE VERDE;00S/N;30;I
267;RUA DO PINHEIRO;-;BARRINHA;VALE VERDE;S/N;29;I
268;RUA DO PINHEIRO;13315-000;BARRINHA;VALE VERDE;424;28;I
269;RUA DO PINHEIRO;00000-000;BARRINHA;VALE VERDE;00S/N;27A;I
270;RUA DO PINHEIRO;13315-000;BARRINHA;VALE VERDE;00S/N;26;I
271;RUA DO PINHEIRO;00000-000;BARRINHA;VALE VERDE;00S/N;25;I
272;RUA DO PINHEIRO;00000-000;BARRINHA;VALE VERDE;00S/N;24;I
273;RUA DO PINHEIRO;00000-000;BARRINHA;VALE VERDE;00S/N;23;I
274;RUA CHAPEU DE SOL;00000-000;BARRINHA;VALE VERDE;00S/N;22;I
275;RUA CHAPEU DE SOL;00000-000;BARRINHA;VALE VERDE;00S/N;21;I
276;RUA CHAPEU DE SOL;00000-000;BARRINHA;VALE VERDE;00S/N;P/20-A;I
277;RUA CHAPEU DE SOL;00000-000;BARRINHA;VALE VERDE;241;19-A;I
278;RUA CHAPEU DE SOL;00000-000;BARRINHA;VALE VERDE;692;18;I
279;RUA CHAPEU DE SOL;00000-000;BARRINHA;VALE VERDE;209;17;I
280;RUA CHAPEU DE SOL;00000-000;BARRINHA;VALE VERDE;187;16;I
281;RUA CHAPEU DE SOL;00000-000;BARRINHA;VALE VERDE;00S/N;15;I
282;RUA CHAPEU DE SOL;00000-000;BARRINHA;VALE VERDE;169;14;I
283;RUA CHAPEU DE SOL;00000-000;BARRINHA;VALE VERDE;00S/N;13;I
284;RUA CHAPEU DE SOL;00000-000;BARRINHA;VALE VERDE;00S/N;12;I
285;RUA CHAPEU DE SOL;00000-000;BARRINHA;VALE VERDE;00S/N;FAIXA NAO EDIFICADA;I
286;RUA DA PAINEIRA;00000-000;BARRINHA;VALE VERDE;00S/N;11;I
287;RUA DA PAINEIRA;00000-000;BARRINHA;VALE VERDE;00S/N;10;I
288;RUA DA PAINEIRA;00000-000;BARRINHA;VALE VERDE;201;B-09;I
289;RUA DA PAINEIRA;00000-000;BARRINHA;VALE VERDE;00S/N;8;I
290;RUA DA PAINEIRA;13315-000;BARRINHA;VALE VERDE;00S/N;7;I
291;RUA DA PAINEIRA;00000-000;BARRINHA;VALE VERDE;00S/N;6;I
292;RUA DA PAINEIRA;00000-000;BARRINHA;VALE VERDE;00S/N;5;I
293;RUA DA PAINEIRA;00000-000;BARRINHA;VALE VERDE;83;P/04;I
294;RUA DA PAINEIRA;00000-000;BARRINHA;VALE VERDE;0;P/04;I
295;RUA DA PAINEIRA;00000-000;BARRINHA;VALE VERDE;00S/N;3;I
296;RUA DA PAINEIRA;00000-000;BARRINHA;VALE VERDE;00S/N;2;I
