Código Imóvel;Logradouro;CEP;Bairro;Loteamento;Nº Imóvel;Lote;Quadra
11772;RUA MOEMA;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;1;D
11773;RUA MOEMA;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;2;D
11774;RUA MOEMA;13318-000;JACARE;RES. H. PINDORAMA I;137;3;D
11775;RUA MOEMA;13318-000;JACARE;RES. H. PINDORAMA I;253;1;E
11776;RUA MOEMA;13318-000;JACARE;RES. H. PINDORAMA I;161;4;D
11777;RUA MOEMA;13318-000;JACARE;RES. H. PINDORAMA I;275;2;E
11778;RUA MOEMA;13318-000;JACARE;RES. H. PINDORAMA I;183;5;D
11779;RUA MOEMA;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;3;E
11780;RUA MOEMA;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;6;D
11781;RUA MOEMA;13318-000;JACARE;RES. H. PINDORAMA I;321;4;E
11782;RUA MOEMA;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;5;E
11783;RUA CECI;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;AREA VERDE 08;F
11784;RUA MOEMA;13318-000;JACARE;RES. H. PINDORAMA I;365;6;E
11785;RUA CECI;13318-000;JACARE;RES. H. PINDORAMA I;586;19;F
11786;RUA MOEMA;13318-000;JACARE;RES. H. PINDORAMA I;387;7;E
11787;RUA CECI;13318-000;JACARE;RES. H. PINDORAMA I;562;18;F
11788;RUA MOEMA;13318-000;JACARE;RES. H. PINDORAMA I;409;8;E
11789;RUA AMANARI;13318-000;JACARE;RES. H. PINDORAMA I;442;9;E
11790;RUA AMANARI;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;10;E
11791;RUA AMANARI;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;11;E
11792;RUA AMANARI;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;12;E
11793;RUA CECI;13318-000;JACARE;RES. H. PINDORAMA I;528;17;F
11794;RUA AMANARI;13318-000;JACARE;RES. H. PINDORAMA I;338;13;E
11795;RUA CECI;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;16;F
11796;RUA AMANARI;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;15;E
11797;RUA AMANARI;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;14;E
11798;RUA CECI;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;15;F
11799;RUA CECI;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;14;F
11800;RUA CECI;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;13;F
11801;RUA MOEMA;13318-000;JACARE;RES. H. PINDORAMA I;212;6;G
11802;RUA CECI;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;12;F
11803;RUA MOEMA;13318-000;JACARE;RES. H. PINDORAMA I;190;5;G
11804;RUA CECI;13318-000;JACARE;RES. H. PINDORAMA I;408;11;F
11805;RUA MOEMA;13318-000;JACARE;RES. H. PINDORAMA I;168;4;G
11806;RUA CECI;13318-000;JACARE;RES. H. PINDORAMA I;388;10;F
11807;RUA MOEMA;13318-000;JACARE;RES. H. PINDORAMA I;144;3;G
11808;RUA CECI;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;9;F
11809;RUA MOEMA;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;2;G
11810;RUA CECI;13318-000;JACARE;RES. H. PINDORAMA I;340;8;F
11811;RUA MOEMA;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;1;G
11812;RUA CECI;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;7;F
11813;RUA CECI;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;6;F
11814;RUA CECI;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;13;G
11815;RUA CECI;13318-000;JACARE;RES. H. PINDORAMA I;258;5;F
11816;RUA CECI;13318-000;JACARE;RES. H. PINDORAMA I;215;12;G
11817;RUA CECI;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;4;F
11818;RUA IRAJA;13318-000;JACARE;RES. H. PINDORAMA I;78;11;G
11819;RUA CECI;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;3;F
11820;RUA IRAJA;13318-000;JACARE;RES. H. PINDORAMA I;101;10;G
11821;RUA CECI;13318-000;JACARE;RES. H. PINDORAMA I;184;2;F
11822;RUA IRAJA;13318-000;JACARE;RES. H. PINDORAMA I;122;9;G
11823;RUA CECI;13318-000;JACARE;RES. H. PINDORAMA I;0;1;F
11824;RUA IRAJA;13318-000;JACARE;RES. H. PINDORAMA I;143;8;G
11825;RUA IRAJA;13318-000;JACARE;RES. H. PINDORAMA I;167;7;G
11826;RUA CECI;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;AREA VERDE 02;F
11827;RUA IRAJA;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;17;H
11828;RUA IRAJA;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;6;I
11829;RUA IRAJA;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;16;H
11830;RUA IRAJA;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;5;I
11831;RUA IRAJA;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;4;I
11832;RUA IRAJA;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;3;I
11833;RUA IRAJA;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;2;I
11834;RUA IRAJA;13318-000;JACARE;RES. H. PINDORAMA I;00S/N;15;H
11835;RUA IRAJA;13318-000;JACARE;RES. H. PINDORAMA I;60;1;I
11836;RUA IRAJA;13318-000;JACARE;RES. H. PINDORAMA I;259;14;H
